,T_PV,I,T_mt,Do_am
178680,29.5,5390.83,32.7,62.2
178740,29.69,3150.83,32.7,62.3
178800,29.62,2955.83,32.7,62.3
178860,29.5,3926.67,32.7,62.4
178920,29.5,5621.67,32.7,62.2
178980,29.5,5930.83,32.7,62.3
179040,29.62,6544.17,32.8,62.4
179100,29.75,7265.83,32.9,61.9
179160,29.81,7604.17,32.9,61.5
179220,30,7800,33,61.6
179280,30.19,7107.5,33.1,61.2
179340,30.31,6224.17,33.2,61
179400,30.31,7582.5,33.2,60.8
179460,30.25,8447.5,33.4,60.9
179520,30.56,8333.33,33.5,60.5
179580,30.75,9186.67,33.6,60.1
179640,30.87,9035.83,33.7,59.9
179700,31.06,8493.33,33.8,59.3
179760,31.12,7935,34,59.2
179820,31.31,7821.67,34.1,59
179880,31.37,7777.5,34.2,58.6
179940,31.37,7745,34.3,58.3
180000,31.44,7610,34.4,58.3
180060,31.56,6931.67,34.4,57.9
180120,31.62,7040,34.5,57.4
180180,31.44,6948.33,34.5,57.9
180240,31.5,6564.17,34.5,57.5
180300,31.5,5115.83,34.5,57.9
180360,31.44,4679.17,34.5,57.9
180420,31.25,4107.5,34.4,57.9
180480,31.12,3916.67,34.3,58.3
180540,31,3508.33,34.2,58.3
180600,30.69,3484.17,34,58.2
180660,30.5,3559.17,33.9,58.9
180720,30.44,3420.83,33.9,59.1
180780,30.37,3164.17,33.8,59.1
180840,30.19,2658.33,33.7,59.4
180900,30.06,2706.67,33.6,59.7
180960,29.94,2633.33,33.5,60
181020,29.94,2540,33.5,60.4
181080,29.81,2400.83,33.4,60.4
181140,29.69,2300,33.3,60.6
181200,29.62,2237.5,33.2,60.8
181260,29.44,2342.5,33.1,60.7
181320,29.31,2264.17,33,61.1
181380,29.31,1848.33,33,61.2
181440,29.19,1748.33,32.9,61.6
181500,29.12,1429.17,32.8,62.2
181560,28.94,1321.67,32.8,62.7
181620,28.87,1323.33,32.7,62.8
181680,28.75,1360.83,32.6,62.9
181740,28.62,1334.17,32.5,62.5
181800,28.5,1127.5,32.4,63.2
181860,28.44,1191.67,32.3,63.2
181920,28.31,1259.17,32.2,63.4
181980,28.25,1331.67,32.1,63.6
182040,28.19,1317.5,32.1,63.8
182100,28.12,1368.33,32,63.5
182160,28.06,1291.67,31.9,64
182220,28,1287.5,31.9,64
182280,27.94,1318.33,31.8,64.3
182340,27.94,1257.5,31.8,64.7
182400,27.94,1133.33,31.7,64.8
182460,27.87,1303.33,31.7,64.7
182520,27.87,1390,31.6,64.7
182580,27.81,1492.5,31.5,64.9
182640,27.75,1473.33,31.5,65.4
182700,27.75,1331.67,31.5,65.2
182760,27.75,1381.67,31.5,65.5
182820,27.75,1754.17,31.5,65.3
182880,27.75,1545,31.5,65.5
182940,27.75,1422.5,31.4,65.6
183000,27.75,1416.67,31.4,65.4
183060,27.69,1266.67,31.4,66.3
183120,27.69,1266.67,31.4,66.4
183180,27.69,1375.83,31.3,65.8
183240,27.69,1090,31.3,66.1
183300,27.62,1381.67,31.3,66.3
183360,27.69,1635,31.3,66.3
183420,27.69,1680.83,31.3,66.1
183480,27.62,1754.17,31.2,66
183540,27.62,1900,31.2,66.1
183600,27.62,2147.5,31.2,66.2
183660,27.62,2270,31.2,66.1
183720,27.62,2200.83,31.2,66.1
183780,27.69,2037.5,31.3,66.4
183840,27.69,2070,31.3,66.3
183900,27.69,2195,31.2,65.8
183960,27.62,2355.83,31.2,66.1
184020,27.69,2454.17,31.3,66.4
184080,27.75,2520.83,31.3,66.1
184140,27.81,2588.33,31.3,66.1
184200,27.87,2720,31.4,66
184260,27.94,2824.17,31.4,66
184320,28,2826.67,31.4,65.7
184380,28.06,2695,31.4,65.8
184440,28.06,2715.83,31.5,65.9
184500,28.12,2819.17,31.5,65.9
184560,28.19,3258.33,31.5,65.7
184620,28.25,3586.67,31.6,65.6
184680,28.31,3624.17,31.6,65.3
184740,28.31,3378.33,31.7,65.2
184800,28.37,3196.67,31.7,65.1
184860,28.44,3231.67,31.8,64.9
184920,28.31,3285,31.8,64.7
184980,28.37,3360,31.8,64.8
185040,28.5,3380,31.9,64.7
185100,28.56,3344.17,31.9,64.7
185160,28.62,3521.67,31.9,64.6
185220,28.69,3404.17,31.9,64.4
185280,28.69,3418.33,32,64.4
185340,28.69,3235,32,64.4
185400,28.75,2289.17,32,64.4
185460,28.75,1944.17,32,64.2
185520,28.62,1841.67,32,64.3
185580,28.62,1800.83,32,64.2
185640,28.56,2137.5,32,64.3
185700,28.5,2101.67,32,64.4
185760,28.5,2168.33,32,64.4
185820,28.44,2147.5,31.9,64.3
185880,28.37,2418.33,31.9,64.6
185940,28.37,2507.5,31.9,64.6
186000,28.37,2555.83,32,64.5
186060,28.44,2492.5,31.9,64.6
186120,28.44,2258.33,32,64.6
186180,28.44,1834.17,32,64.3
186240,28.44,1414.17,31.9,64.5
186300,28.31,1152.5,31.9,64.8
186360,28.31,982.5,31.9,64.6
186420,28.25,852.5,31.8,64.9
186480,28.19,796.67,31.8,64.9
186540,28.06,895.83,31.7,65
186600,28,1131.67,31.7,65.1
186660,28.06,1427.5,31.7,65.2
186720,28,1600,31.7,65.1
186780,28,1516.67,31.6,65.2
186840,28,1416.67,31.6,65.2
186900,27.87,1270,31.6,65.4
186960,27.87,1207.5,31.5,65.5
187020,27.87,1200.83,31.5,65.5
187080,27.81,1442.5,31.5,65.6
187140,27.81,1348.33,31.4,65.2
187200,27.69,1226.67,31.4,65.4
187260,27.69,1158.33,31.4,65.7
187320,27.69,1080.83,31.4,65.9
187380,27.69,926.67,31.3,66.1
187440,27.69,814.17,31.3,65.9
187500,27.62,776.67,31.3,66.1
187560,27.62,740.83,31.3,65.9
187620,27.56,695.83,31.3,65.9
187680,27.5,673.33,31.2,66
187740,27.5,676.67,31.2,66.2
187800,27.44,706.67,31.2,66.4
187860,27.44,675.83,31.2,66.7
187920,27.44,676.67,31.1,66.9
187980,27.37,768.33,31.1,66.8
188040,27.31,780.83,31.1,66.8
188100,27.31,753.33,31.1,66.8
188160,27.25,719.17,31.1,67
188220,27.25,745,31,66.8
188280,27.25,810,31,67
188340,27.25,893.33,31,66.9
188400,27.25,1011.67,31,66.9
188460,27.25,1023.33,31,66.7
188520,27.31,1105,31,66.8
188580,27.31,1231.67,31,66.8
188640,27.31,1425.83,31,67
188700,27.31,1536.67,31,66.9
188760,27.37,1564.17,31,66.9
188820,27.44,1341.67,31,66.7
188880,27.44,1111.67,31.1,66.6
188940,27.44,1072.5,31.1,66.9
189000,27.44,920,31.1,67
189060,27.37,874.17,31.1,66.9
189120,27.44,908.33,31,66.8
189180,27.37,1081.67,31.1,66.7
189240,27.37,1255.83,31.1,66.7
189300,27.37,1240.83,31,66.7
189360,27.37,995.83,31,66.8
189420,27.44,832.5,31,66.9
189480,27.44,783.33,31.1,66.8
189540,27.37,895.83,31.1,66.9
189600,27.37,980,31,66.9
189660,27.31,960,31,67
189720,27.31,956.67,30.9,67
189780,27.31,1031.67,31,67
189840,27.31,1040.83,31,66.9
189900,27.31,979.17,30.9,66.5
189960,27.31,864.17,31,66.6
190020,27.31,755.83,30.9,66.6
190080,27.31,720.83,30.9,66.6
190140,27.25,710,30.9,66.8
190200,27.25,730.83,30.9,66.7
190260,27.25,857.5,30.9,66.7
190320,27.25,1006.67,30.9,66.7
190380,27.25,1029.17,30.9,66.7
190440,27.19,1036.67,30.8,66.6
190500,27.19,1094.17,30.9,66.7
190560,27.19,1084.17,30.9,66.7
190620,27.19,1188.33,30.9,66.7
190680,27.19,1256.67,30.9,66.5
190740,27.19,1335,30.8,66.6
190800,27.25,1510,30.8,66.7
190860,27.25,1603.33,30.8,66.7
190920,27.25,1530.83,30.9,66.6
190980,27.25,1445,30.9,66.5
191040,27.25,1502.5,30.9,66.6
191100,27.31,1688.33,30.9,66.3
191160,27.37,1880.83,30.9,66.5
191220,27.44,2064.17,30.9,66.4
191280,27.5,2039.17,31,66.3
191340,27.56,2075,31,66.1
191400,27.56,1915.83,31,65.9
191460,27.56,1685,31.1,65.9
191520,27.56,1527.5,31.1,65.9
191580,27.62,1252.5,31.1,65.8
191640,27.62,1020,31.1,65.8
191700,27.62,1110.83,31.1,65.6
191760,27.56,1206.67,31.1,65.7
191820,27.56,1123.33,31.1,65.9
191880,27.56,1158.33,31.1,65.9
191940,27.5,1125.83,31.1,65.9
192000,27.44,1227.5,31.1,65.9
192060,27.5,1145,31.1,65.9
192120,27.5,1206.67,31.1,65.7
192180,27.5,1298.33,31.1,65.7
192240,27.44,1469.17,31,65.6
192300,27.44,1557.5,31,65.9
192360,27.44,1687.5,31.1,65.7
192420,27.5,1792.5,31.1,65.8
192480,27.5,1652.5,31.1,65.7
192540,27.56,1417.5,31.1,65.7
192600,27.56,1214.17,31.1,65.8
192660,27.62,1102.5,31.1,65.9
192720,27.56,1155.83,31.1,65.9
192780,27.56,1219.17,31.1,65.9
192840,27.5,1205,31.1,65.9
192900,27.5,1224.17,31.1,66
192960,27.5,1217.5,31.1,66.1
193020,27.5,1218.33,31.1,66.2
193080,27.44,1098.33,31.1,66.5
193140,27.44,1150.83,31.1,66.6
193200,27.44,1059.17,31.1,66.4
193260,27.37,950.83,31,66.4
193320,27.37,941.67,31,66.5
193380,27.31,940.83,31,66.5
193440,27.31,923.33,31,66.6
193500,27.25,894.17,31,66.6
193560,27.31,950,31,66.5
193620,27.31,1045.83,30.9,66.6
193680,27.31,1090.83,30.9,66.5
193740,27.31,1160.83,30.9,66.7
193800,27.31,1167.5,30.9,66.6
193860,27.25,1110,30.9,66.8
193920,27.31,1008.33,30.9,66.7
193980,27.25,1033.33,30.9,66.7
194040,27.31,1125,30.9,66.8
194100,27.31,1375.83,30.9,66.8
194160,27.31,1650,31,66.7
194220,27.37,1715.83,31,66.6
194280,27.37,1791.67,31,66.6
194340,27.44,2091.67,31,66.6
194400,27.44,2448.33,31,66.5
194460,27.5,2795.83,31.1,66.5
194520,27.62,2901.67,31.1,66.3
194580,27.75,2995.83,31.2,66.1
194640,27.87,3052.5,31.2,65.9
194700,27.87,2985.83,31.3,65.7
194760,28,2765.83,31.3,65.6
194820,28,2625.83,31.4,65.5
194880,28,2643.33,31.4,65.3
194940,28.06,2590,31.5,65.2
195000,28.12,2320.83,31.5,65.1
195060,28.12,2003.33,31.5,65.2
195120,28.06,1712.5,31.5,65
195180,28.06,1683.33,31.6,65.1
195240,28.06,1644.17,31.6,65.2
195300,28,1651.67,31.6,65.1
195360,28,1489.17,31.6,65.1
195420,28,1449.17,31.5,65.1
195480,27.94,1435,31.5,65.1
195540,27.87,1447.5,31.4,65.2
195600,27.75,1408.33,31.4,65.2
195660,27.75,1337.5,31.4,65.3
195720,27.69,1235,31.3,65.4
195780,27.69,1149.17,31.3,65.5
195840,27.69,1189.17,31.3,65.6
195900,27.62,1178.33,31.3,65.6
195960,27.62,1131.67,31.3,65.6
196020,27.56,1085.83,31.2,65.7
196080,27.56,1066.67,31.2,65.7
196140,27.56,1056.67,31.2,65.7
196200,27.5,1005.83,31.2,65.7
196260,27.5,1033.33,31.1,65.8
196320,27.44,975.83,31.2,65.9
196380,27.5,912.5,31.1,65.9
196440,27.5,1008.33,31.1,66
196500,27.44,979.17,31.1,66.1
196560,27.44,908.33,31.1,66.1
196620,27.44,844.17,31.1,66.2
196680,27.37,905,31.1,66.2
196740,27.37,863.33,31,66.3
196800,27.31,805.83,31,66.4
196860,27.31,678.33,31,66.4
196920,27.31,508.33,31,66.4
196980,27.25,409.17,30.9,66.6
197040,27.19,450.83,30.9,66.8
197100,27.12,510,30.8,66.8
197160,27.12,510.83,30.8,67
197220,27.12,463.33,30.8,67
197280,27.06,418.33,30.8,67.1
197340,27,345,30.8,67.2
197400,27.06,315.83,30.7,67.2
197460,27,329.17,30.7,67.4
197520,27,320,30.7,67.5
197580,26.94,315.83,30.7,67.5
197640,26.94,308.33,30.7,67.5
197700,26.94,308.33,30.6,67.6
197760,26.87,315.83,30.6,67.7
197820,26.87,319.17,30.6,67.7
197880,26.87,325.83,30.6,67.8
197940,26.81,360.83,30.6,68
198000,26.81,392.5,30.5,67.9
198060,26.81,374.17,30.5,68.1
198120,26.81,377.5,30.6,68.1
198180,26.87,426.67,30.6,68.1
198240,26.87,500.83,30.6,68
198300,26.87,532.5,30.6,68.1
198360,26.87,540.83,30.6,68
198420,26.87,572.5,30.6,68
198480,26.87,534.17,30.6,67.9
198540,26.87,510.83,30.6,68.2
198600,26.87,465,30.5,68.1
198660,26.87,445.83,30.5,68
198720,26.87,429.17,30.5,68
198780,26.87,405.83,30.5,68
198840,26.81,380,30.5,68
198900,26.81,355.83,30.5,68
198960,26.81,335.83,30.5,68
199020,26.81,321.67,30.5,68.1
199080,26.81,300,30.5,68.1
199140,26.81,260,30.5,68.2
199200,26.81,236.67,30.5,68.2
199260,26.81,210,30.5,68.2
199320,26.81,175,30.5,68.3
199380,26.81,114.17,30.5,68.2
199440,26.81,105,30.5,68.3
199500,26.75,108.33,30.5,68.3
199560,26.75,108.33,30.5,68.3
199620,26.75,117.5,30.5,68.3
199680,26.69,120,30.5,68.4
199740,26.75,108.33,30.5,68.4
199800,26.75,111.67,30.4,68.5
199860,26.69,107.5,30.4,68.5
199920,26.69,101.67,30.4,68.6
199980,26.69,97.5,30.4,68.5
200040,26.69,89.17,30.4,68.5
200100,26.62,88.33,30.4,68.6
200160,26.62,85,30.4,68.7
200220,26.62,75,30.4,68.6
200280,26.62,70,30.4,68.8
200340,26.62,65,30.4,68.8
200400,26.62,60,30.3,68.7
200460,26.62,60,30.3,68.9
200520,26.56,64.17,30.3,68.9
200580,26.56,65.83,30.3,69
200640,26.56,64.17,30.3,69
200700,26.56,60,30.3,69
200760,26.5,60,30.3,69.1
200820,26.5,57.5,30.3,69.1
200880,26.5,55.83,30.2,69.3
200940,26.5,55.83,30.2,69.4
201000,26.5,54.17,30.2,69.4
201060,26.5,50.83,30.2,69.3
201120,26.5,46.67,30.2,69.4
201180,26.5,42.5,30.2,69.4
201240,26.5,39.17,30.2,69.4
201300,26.5,35,30.2,69.5
201360,26.5,28.33,30.2,69.5
201420,26.44,24.17,30.2,69.6
201480,26.44,23.33,30.2,69.6
201540,26.44,20.83,30.2,69.6
201600,26.44,16.67,30.2,69.7
201660,26.44,10,30.2,69.6
201720,26.44,8.33,30.2,69.7
201780,26.44,10.83,30.2,69.7
201840,26.44,10,30.2,69.7
201900,26.44,7.5,30.2,69.7
201960,26.44,5.83,30.2,69.8
202020,26.44,4.17,30.2,69.8
202080,26.44,3.33,30.2,69.8
202140,26.44,2.5,30.2,69.8
202200,26.44,2.5,30.2,69.8
202260,26.44,1.67,30.1,69.8
202320,26.44,1.67,30.2,69.8
202380,26.44,0.83,30.1,69.8
202440,26.44,0.83,30.1,69.9
202500,26.44,0.83,30.1,69.8
202560,26.44,0.83,30.1,69.8
202620,26.44,0.83,30.1,69.9
202680,26.37,0.83,30.1,70
202740,26.37,0,30.1,70
202800,26.37,0,30.1,70.2
202860,26.37,0,30.1,70.1
202920,26.37,0,30.1,70.2
202980,26.37,0,30.1,70.3
203040,26.31,0,30.1,70.3
203100,26.37,0,30.1,70.3
203160,26.37,0,30.1,70.4
203220,26.31,0,30.1,70.3
203280,26.31,0,30.1,70.3
203340,26.31,0,30.1,70.3
203400,26.31,0,30.1,70.4
203460,26.31,0,30,70.3
203520,26.31,0,30,70.3
203580,26.31,0,30,70.3
203640,26.25,0,30,70.4
203700,26.25,0,30,70.4
203760,26.25,0,30,70.5
203820,26.25,0,30,70.5
203880,26.19,0,29.9,70.5
203940,26.19,0,29.9,70.5
204000,26.19,0,29.9,70.5
204060,26.19,0,30,70.6
204120,26.19,0,29.9,70.8
204180,26.12,0,29.9,70.9
204240,26.12,0,29.9,70.8
204300,26.19,0,29.9,70.8
204360,26.12,0,29.9,70.9
204420,26.12,0,29.9,70.8
204480,26.12,0,29.8,70.9
204540,26.06,0,29.9,71
204600,26.06,0,29.9,71
204660,26.06,0,29.9,70.9
204720,26.06,0,29.8,70.9
204780,26.12,0,29.9,71
204840,26.06,0,29.8,71
204900,26.06,0,29.8,70.9
204960,26.06,0,29.8,70.8
205020,26.06,0,29.8,70.7
205080,26,0,29.8,71
205140,26,0,29.8,70.9
205200,26,0,29.8,71
205260,26,0,29.8,70.9
205320,26,0,29.8,70.9
205380,26,0,29.8,70.8
205440,26,0,29.8,70.7
205500,25.94,0,29.7,70.8
205560,25.94,0,29.7,70.9
205620,25.87,0,29.7,70.9
205680,25.94,0,29.7,70.8
205740,25.94,0,29.7,71
205800,25.94,0,29.7,70.9
205860,25.87,0,29.6,70.9
205920,25.87,0,29.6,71
205980,25.87,0,29.6,71
206040,25.87,0,29.6,71
206100,25.87,2.5,29.6,71
206160,25.87,3.33,29.6,71
206220,25.81,3.33,29.6,71
206280,25.87,3.33,29.6,71
206340,25.81,4.17,29.6,71
206400,25.81,4.17,29.6,71.2
206460,25.81,4.17,29.6,71.3
206520,25.81,4.17,29.6,71.2
206580,25.81,4.17,29.6,71.2
206640,25.87,4.17,29.6,71.3
206700,25.87,4.17,29.6,71.3
206760,25.87,4.17,29.6,71.3
206820,25.87,4.17,29.6,71.4
206880,25.87,4.17,29.6,71.3
206940,25.87,3.33,29.6,71.3
207000,25.87,4.17,29.6,71.3
207060,25.87,4.17,29.6,71.1
207120,25.87,4.17,29.6,71
207180,25.81,4.17,29.6,71.2
207240,25.87,4.17,29.6,71.2
207300,25.87,3.33,29.6,71.3
207360,25.81,3.33,29.5,71.3
207420,25.75,3.33,29.5,71.6
207480,25.75,3.33,29.5,71.5
207540,25.81,3.33,29.5,71.3
207600,25.75,3.33,29.5,71.5
207660,25.75,4.17,29.5,71.5
207720,25.75,4.17,29.4,71.5
207780,25.69,4.17,29.5,71.5
207840,25.69,4.17,29.5,71.4
207900,25.69,3.33,29.4,71.5
207960,25.69,3.33,29.4,71.5
208020,25.69,3.33,29.4,71.5
208080,25.69,3.33,29.4,71.5
208140,25.69,3.33,29.4,71.6
208200,25.69,3.33,29.4,71.8
208260,25.69,3.33,29.4,71.7
208320,25.69,3.33,29.4,71.8
208380,25.69,3.33,29.4,71.8
208440,25.69,3.33,29.4,71.9
208500,25.69,3.33,29.4,71.9
208560,25.69,3.33,29.4,71.7
208620,25.69,3.33,29.4,72.1
208680,25.69,3.33,29.4,71.9
208740,25.69,3.33,29.4,71.9
208800,25.69,3.33,29.4,71.8
208860,25.69,0,29.4,71.9
208920,25.69,0,29.4,71.9
208980,25.69,0,29.4,72.2
209040,25.69,0,29.4,72
209100,25.69,0,29.4,71.9
209160,25.62,0,29.4,71.9
209220,25.69,0,29.4,72
209280,25.69,0,29.4,72
209340,25.69,0,29.4,71.9
209400,25.62,0,29.4,72
209460,25.62,0,29.4,71.8
209520,25.69,0,29.4,71.7
209580,25.69,0,29.4,71.7
209640,25.69,0,29.5,71.7
209700,25.69,0,29.4,71.4
209760,25.69,0,29.5,71.6
209820,25.69,0,29.5,71.6
209880,25.75,0,29.4,71.7
209940,25.75,0,29.5,71.6
210000,25.75,0,29.5,71.5
210060,25.69,0,29.5,71.6
210120,25.75,0,29.4,71.6
210180,25.69,0,29.4,71.6
210240,25.62,0,29.4,71.7
210300,25.62,0,29.4,71.7
210360,25.62,0,29.4,71.6
210420,25.56,0,29.4,71.8
210480,25.56,0,29.3,71.9
210540,25.56,0,29.3,71.7
210600,25.5,0,29.3,72
210660,25.5,0,29.3,72.1
210720,25.56,0,29.3,71.8
210780,25.56,0,29.3,72
210840,25.5,0,29.3,71.8
210900,25.56,0,29.3,71.8
210960,25.5,0,29.3,71.9
211020,25.5,0,29.3,72
211080,25.5,0,29.3,71.9
211140,25.5,0,29.3,72
211200,25.44,0,29.2,72
211260,25.5,0,29.2,72
211320,25.44,0,29.2,72.2
211380,25.37,0,29.2,72.5
211440,25.44,0,29.2,72.4
211500,25.44,0,29.2,72.3
211560,25.44,0,29.2,72.3
211620,25.44,0,29.2,72.3
211680,25.44,0,29.2,72.3
211740,25.44,0,29.2,72.2
211800,25.44,0,29.2,72.2
211860,25.44,0,29.2,72.2
211920,25.44,0,29.2,72.2
211980,25.5,0,29.2,72.1
212040,25.5,0,29.2,72.1
212100,25.5,0,29.2,72.2
212160,25.5,0,29.2,72.1
212220,25.5,0,29.3,72.1
212280,25.5,0,29.3,72.1
212340,25.56,0,29.3,72
212400,25.56,0,29.3,72
212460,25.56,0,29.3,71.8
212520,25.5,0,29.3,71.8
212580,25.5,0,29.3,71.9
212640,25.5,0,29.3,71.9
212700,25.5,0,29.3,71.9
212760,25.56,0,29.3,71.9
212820,25.56,0,29.3,72
212880,25.56,0,29.3,71.9
212940,25.56,0,29.3,71.9
213000,25.56,0,29.3,72
213060,25.5,0,29.3,71.9
213120,25.5,0,29.3,71.9
213180,25.5,0,29.2,71.9
213240,25.5,0,29.2,72
213300,25.5,0,29.2,71.9
213360,25.44,0,29.2,72
213420,25.44,0,29.2,72
213480,25.44,0,29.2,72.1
213540,25.44,0,29.2,72
213600,25.37,0,29.2,72
213660,25.44,0,29.2,72.1
213720,25.44,0,29.2,72.1
213780,25.37,0,29.1,71.9
213840,25.44,0,29.2,71.9
213900,25.37,0,29.2,72
213960,25.44,0,29.2,72
214020,25.37,0,29.2,72.1
214080,25.37,0,29.2,72
214140,25.37,0,29.2,72
214200,25.37,0,29.2,72
214260,25.37,0,29.2,72
214320,25.37,0,29.2,72.1
214380,25.37,0,29.2,72
214440,25.37,0,29.2,72.1
214500,25.37,0,29.1,72.1
214560,25.31,0,29.1,72.2
214620,25.31,0,29,72.2
214680,25.25,0,29,72.3
214740,25.19,0,29.1,72.4
214800,25.31,0,29.1,72.5
214860,25.25,0,29.1,72.5
214920,25.25,0,29.1,72.4
214980,25.25,0,29,72.5
215040,25.25,0,29,72.5
215100,25.25,0,29.1,72.5
215160,25.31,0,29.1,72.4
215220,25.25,0,29,72.5
215280,25.25,0,29,72.6
215340,25.25,0,29,72.6
215400,25.19,0,29,72.8
215460,25.19,0,28.9,72.8
215520,25.12,0,28.9,72.9
215580,25.12,0,28.9,72.9
215640,25.12,0,28.9,73
215700,25.12,0,28.9,72.9
215760,25.19,0,28.9,72.9
215820,25.19,0,29,72.9
215880,25.19,0,29,72.9
215940,25.19,0,29,72.9
216000,25.19,0,29,72.9
216060,25.19,0,29,72.9
216120,25.25,0,29,72.8
216180,25.19,0,29,72.8
216240,25.19,0,29,72.8
216300,25.19,0,29,72.7
216360,25.19,0,29,72.7
216420,25.19,0,29,72.8
216480,25.19,0,29,72.8
216540,25.19,0,29,72.8
216600,25.19,0,29,72.8
216660,25.19,0,29,72.8
216720,25.19,0,29,72.9
216780,25.19,0,29,72.8
216840,25.19,0,28.9,73.1
216900,25.19,0,28.9,73.1
216960,25.12,0,28.9,73
217020,25.12,0,28.9,73.1
217080,25.12,0,28.9,73.1
217140,25.12,0,28.9,73.2
217200,25.12,0,28.9,73.1
217260,25.12,0,28.9,73
217320,25.12,0,28.9,73
217380,25.12,0,28.9,73.1
217440,25.12,0,28.9,73.1
217500,25.19,0,28.9,73.1
217560,25.12,0,28.9,73.1
217620,25.19,0,28.9,73
60,-127,2.5,27,83.7
120,26.19,2.5,27.1,83
