,T_PV,I,T_mt,Do_am
101580,30.94,6636.67,34.1,58.2
101640,30.94,5830.83,34.1,58.1
101700,31.06,4545.83,34.2,58.2
101760,31.06,4021.67,34.2,58.1
101820,30.94,3572.5,34.1,58.4
101880,30.81,3014.17,34.1,58.4
101940,30.69,2659.17,34,58.3
102000,30.44,2305,34,58.5
102060,30.31,2046.67,33.9,58.7
102120,30.12,1860.83,33.7,59.1
102180,30,1770,33.7,59.4
102240,29.87,1925.83,33.6,59.5
102300,29.75,2015,33.5,59.7
102360,29.69,1675,33.4,60
102420,29.56,1398.33,33.3,60.2
102480,29.44,1455.83,33.2,60.6
102540,29.31,1451.67,33.1,60.8
102600,29.31,1405,33.1,61
102660,29.19,1353.33,33,61.2
102720,29.12,1292.5,32.9,61.5
102780,29.06,1403.33,32.8,61.7
102840,29,1418.33,32.8,61.8
102900,28.94,1360.83,32.7,62
102960,28.81,1264.17,32.6,62.2
103020,28.75,1235,32.5,62.4
103080,28.69,1325,32.5,62.6
103140,28.62,1513.33,32.5,62.9
103200,28.62,1531.67,32.4,62.9
103260,28.62,1623.33,32.3,63
103320,28.56,1468.33,32.3,63
103380,28.56,1468.33,32.3,63.3
103440,28.56,1468.33,32.3,63.3
103500,28.56,1245,32.2,63.4
103560,28.5,1163.33,32.2,63.4
103620,28.5,1042.5,32.2,63.5
103680,28.44,1059.17,32.1,63.8
103740,28.37,1150,32.1,63.8
103800,28.37,1008.33,32.1,63.9
103860,28.31,982.5,32,63.8
103920,28.31,914.17,32,64.2
103980,28.25,934.17,32,64.2
104040,28.25,1146.67,31.9,64.4
104100,28.19,1405,32,64.4
104160,28.19,1762.5,31.9,64.5
104220,28.19,2176.67,31.9,64.6
104280,28.25,2210.83,31.9,64.6
104340,28.25,2165,31.9,64.5
104400,28.31,2053.33,31.9,64.7
104460,28.31,2030,31.9,64.6
104520,28.31,2440,31.9,64.7
104580,28.31,3105.83,32,64.8
104640,28.44,2973.33,32,64.6
104700,28.56,2601.67,32,64.7
104760,28.62,2163.33,32.1,64.7
104820,28.62,1617.5,32.1,64.6
104880,28.62,1408.33,32.1,64.8
104940,28.56,1422.5,32.1,64.6
105000,28.5,1325.83,32.1,64.7
105060,28.5,930.83,32.1,64.8
105120,28.5,725,32.1,64.5
105180,28.37,620.83,32,64.6
105240,28.37,650,32,64.6
105300,28.31,706.67,32,64.8
